ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min),velocidad (kmh)
3472,Parque del Niño Puno,"-15.858797,-70.012071",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-06-03,04:55:00,4.66,10.92,25.6
3473,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-17,20:10:00,5.3,12.0,26.52
3474,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-03,07:49:00,1.29,6.0,12.87
3475,Av. Costanera Puno,"-15.8399095,-70.0176539",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-06-16,02:19:00,2.26,6.0,22.55
3476,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-10-15,04:37:00,2.19,6.0,21.9
3477,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-10-28,06:18:00,5.13,12.0,25.64
3479,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-09-08,02:18:00,2.43,6.0,24.34
3480,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-09-21,07:43:00,1.02,6.0,10.17
3481,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Parque Pino Puno,"-15.8378073,-70.0280672",2024-07-16,20:04:00,2.24,6.0,22.39
3482,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-13,12:57:00,4.84,10.92,26.59
3483,Parque Pino Puno,"-15.8378073,-70.0280672",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-23,06:45:00,2.2,6.0,22.04
3484,Jr. Lima Puno,"-15.838756,-70.02816",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-04,12:44:00,3.12,10.0,18.69
3485,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-03,11:39:00,11.06,18.83,35.25
3486,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-30,19:45:00,6.93,14.63,28.41
3487,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-09-14,23:16:00,7.56,16.78,27.04
3489,Jr. Lima Puno,"-15.838756,-70.02816",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-08-29,23:50:00,10.65,19.05,33.54
3490,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-11-07,06:27:00,2.8,7.0,24.04
3491,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-07-09,10:06:00,4.49,10.0,26.91
3492,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-09-01,04:09:00,5.45,12.0,27.26
3493,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-07-05,03:26:00,1.75,6.0,17.46
3494,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-16,06:31:00,0.64,3.0,12.7
3495,Plaza Vea Puno,"-15.83636,-70.025604",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-09-10,09:49:00,0.6,3.0,11.92
3496,Parque del Periodista Puno,"-15.839012,-70.023311",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-02,20:02:00,0.68,3.0,13.5
3497,Colegio Adventista Puno,"-15.8366071,-70.0291852",Parque del Niño Puno,"-15.858797,-70.012071",2024-09-08,22:10:00,4.61,10.0,27.66
3498,Avenida La Torre Puno,"-15.8336052,-70.0276202",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-23,03:41:00,2.11,6.0,21.09
3499,Salcedo Puno,"-15.8687992,-69.9986595",Parque San Román Puno,"-15.841093,-70.029431",2024-10-11,15:06:00,6.49,12.09,32.22
3500,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-04,05:29:00,7.06,12.84,33.0
3501,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-13,22:04:00,1.36,6.0,13.55
3502,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-19,16:45:00,6.02,13.13,27.5
3503,Parque del Periodista Puno,"-15.839012,-70.023311",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-17,07:29:00,0.56,3.0,11.3
3504,Parque Pino Puno,"-15.8378073,-70.0280672",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-11-29,16:51:00,2.06,6.0,20.63
3505,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-11-26,01:27:00,0.11,3.0,2.28
3506,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-23,06:20:00,0.81,3.0,16.26
3507,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-11,23:09:00,2.01,6.0,20.07
3508,Plaza Vea Puno,"-15.83636,-70.025604",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-01,04:24:00,0.96,3.0,19.12
3509,Jr. Lima Puno,"-15.838756,-70.02816",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-02,05:25:00,0.41,3.0,8.22
3510,Urbanización Bellavista Puno,"-15.832755,-70.022242",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-07,21:18:00,1.31,6.0,13.12
3511,Parque del Periodista Puno,"-15.839012,-70.023311",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-16,09:17:00,0.99,3.16,18.82
3512,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-11-26,13:31:00,3.39,10.0,20.33
3513,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Parque del Periodista Puno,"-15.839012,-70.023311",2024-08-27,19:32:00,0.66,3.0,13.14
3514,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-10,17:22:00,2.24,6.0,22.41
3515,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-07-23,22:44:00,4.28,10.27,24.98
3516,Parque San Román Puno,"-15.841093,-70.029431",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-31,05:55:00,3.14,10.0,18.87
3517,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-20,19:39:00,8.17,16.36,29.96
3518,Urbanización Alto Puno,"-15.814292,-70.031918",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-15,01:09:00,5.52,12.0,27.59
3519,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-20,10:52:00,9.22,18.83,29.37
3520,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-07-10,05:09:00,1.04,6.0,10.43
3521,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-04,15:39:00,1.72,6.0,17.17
3522,Terminal Terrestre Puno,"-15.843678,-70.017225",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-11-24,20:28:00,2.55,6.21,24.61
3523,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-07-13,06:55:00,3.79,10.0,22.73
3524,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-08,15:28:00,1.58,6.0,15.77
3525,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-23,23:22:00,5.36,12.0,26.8
3526,Parque del Periodista Puno,"-15.839012,-70.023311",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-08-02,04:45:00,0.53,3.0,10.58
3527,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-29,17:42:00,4.44,10.69,24.94
3528,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-08-25,10:03:00,3.06,10.0,18.38
3529,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-01,20:31:00,5.27,12.0,26.35
3530,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Alto Puno,"-15.814292,-70.031918",2024-09-12,21:03:00,4.79,11.18,25.69
3531,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Alto Puno,"-15.814292,-70.031918",2024-09-13,23:00:00,3.72,10.0,22.34
3532,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-04,22:08:00,2.56,6.0,25.57
3533,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-26,11:00:00,3.72,10.0,22.31
3534,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-01,04:42:00,1.98,6.0,19.84
3535,Parque Pino Puno,"-15.8378073,-70.0280672",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-06-24,10:21:00,3.07,10.0,18.44
3536,Salcedo Puno,"-15.8687992,-69.9986595",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-17,01:21:00,7.68,14.92,30.9
3537,Jr. Tarapacá Puno,"-15.83755,-70.029158",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-08-29,23:50:00,3.12,10.0,18.72
3538,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-11-16,08:54:00,5.35,12.0,26.75
3539,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-08-22,06:01:00,3.28,10.0,19.67
3540,Jr. Lima Puno,"-15.838756,-70.02816",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-01,09:26:00,0.55,3.0,10.96
3541,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-08-24,10:23:00,1.25,6.0,12.54
3542,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-14,22:49:00,0.88,3.0,17.52
3543,Jr. Los Incas Puno,"-15.836837,-70.024882",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-09-09,21:23:00,0.64,3.0,12.78
3544,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-21,19:48:00,3.92,10.0,23.52
3546,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-02,05:05:00,1.24,6.0,12.42
3547,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-09-17,01:59:00,7.24,13.21,32.9
3548,Puerto Lacustre Puno,"-15.835401,-70.014945",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-07,04:34:00,7.12,14.28,29.92
3549,Jayllihuaya Puno,"-15.8787471,-69.9751057",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-11-14,18:29:00,10.48,20.28,31.01
3550,Parque Pino Puno,"-15.8378073,-70.0280672",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-09-21,06:22:00,1.81,6.0,18.13
3551,Jr. Lima Puno,"-15.838756,-70.02816",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-08-31,11:40:00,1.81,6.0,18.07
3552,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-20,15:09:00,2.0,6.0,19.98
3553,Avenida El Sol Puno,"-15.8458219,-70.0202123",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-12,05:34:00,1.59,6.0,15.92
3554,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-02,11:35:00,2.51,6.07,24.77
3555,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque San Román Puno,"-15.841093,-70.029431",2024-06-13,03:47:00,7.67,16.6,27.73
3556,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-01,10:39:00,8.61,16.0,32.28
3557,Jr. Lima Puno,"-15.838756,-70.02816",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-06-20,07:13:00,8.58,16.0,32.17
3558,Urbanización Bellavista Puno,"-15.832755,-70.022242",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-11-21,20:30:00,1.88,6.0,18.84
3559,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-08-23,21:45:00,5.17,12.0,25.84
3560,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-30,12:04:00,2.34,6.08,23.05
3561,Av. Costanera Puno,"-15.8399095,-70.0176539",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-25,14:09:00,0.87,3.0,17.34
3562,Colegio Don Bosco Puno,"-15.883085,-70.001176",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-28,22:05:00,8.43,16.0,31.61
3563,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-08-15,00:12:00,3.78,10.0,22.71
3564,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-03,15:18:00,0.42,3.0,8.48
3565,Parque del Niño Puno,"-15.858797,-70.012071",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-08,05:50:00,4.7,10.39,27.15
3566,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-20,08:06:00,6.44,13.14,29.39
3567,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-02,03:44:00,4.18,10.0,25.1
3568,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-09-01,21:18:00,8.48,16.0,31.79
3569,Colegio Adventista Puno,"-15.8366071,-70.0291852",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-19,17:01:00,0.26,3.0,5.1
3570,Plaza Vea Puno,"-15.83636,-70.025604",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-25,17:10:00,0.57,3.0,11.42
3571,Plaza Vea Puno,"-15.83636,-70.025604",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-06-13,12:29:00,0.13,3.0,2.56
3572,Colegio Adventista Puno,"-15.8366071,-70.0291852",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-07-10,08:08:00,0.52,3.0,10.44
3573,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-11-16,05:57:00,7.16,13.1,32.8
3574,Ministerio de Cultura Puno,"-15.842631,-70.028915",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-12,21:51:00,1.52,6.0,15.23
3575,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-02,21:22:00,4.46,10.0,26.73
3576,Ministerio de Cultura Puno,"-15.842631,-70.028915",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-09,08:51:00,1.25,6.0,12.52
3577,Terminal Terrestre Puno,"-15.843678,-70.017225",Senati Puno,"-15.8699536,-69.9988485",2024-10-28,16:03:00,4.92,10.51,28.12
3578,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-07-15,02:26:00,0.69,3.0,13.74
3579,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Senati Puno,"-15.8699536,-69.9988485",2024-08-17,09:01:00,6.74,14.26,28.38
3580,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-12,19:14:00,2.88,6.31,27.35
3581,Plaza Vea Puno,"-15.83636,-70.025604",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-07-10,02:21:00,2.72,6.39,25.52
3582,Puerto Lacustre Puno,"-15.835401,-70.014945",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-03,02:11:00,4.14,10.0,24.85
3583,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-02,18:27:00,6.21,12.0,31.04
3584,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-09-24,09:04:00,1.64,6.0,16.36
3585,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-25,08:27:00,6.92,13.16,31.53
3586,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-10,02:58:00,0.25,3.0,4.96
3587,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-07-16,04:58:00,1.83,6.0,18.26
3588,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-06-05,09:35:00,2.46,6.0,24.64
3589,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-30,21:42:00,7.55,14.75,30.73
3590,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-04,11:59:00,5.71,12.0,28.54
3591,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-04,15:12:00,5.04,12.0,25.18
3592,Salcedo Puno,"-15.8687992,-69.9986595",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-10-05,08:50:00,6.95,14.03,29.74
3593,Parque del Niño Puno,"-15.858797,-70.012071",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-25,08:36:00,3.79,10.0,22.76
3594,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-07,18:12:00,1.34,6.0,13.35
3595,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-23,20:54:00,5.47,12.0,27.36
3596,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-03,06:49:00,5.38,12.0,26.92
3597,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-15,17:59:00,1.94,6.0,19.45
3598,Parque del Periodista Puno,"-15.839012,-70.023311",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-22,22:54:00,1.29,6.0,12.92
3599,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-01,16:50:00,4.28,10.0,25.69
3600,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-20,03:43:00,6.72,13.56,29.75
3601,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-19,03:20:00,6.25,12.0,31.24
3602,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Parque del Niño Puno,"-15.858797,-70.012071",2024-11-28,13:02:00,2.88,7.27,23.79
3603,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-06,07:42:00,0.99,3.2,18.51
3604,Avenida Floral Puno,"-15.8268687,-70.0141471",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-04,12:48:00,2.56,7.31,21.04
3605,Urbanización Alto Puno,"-15.814292,-70.031918",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-05,05:32:00,3.57,10.0,21.41
3607,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-10-21,23:10:00,3.1,10.0,18.59
3608,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-27,12:18:00,3.92,10.0,23.52
3609,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-07-22,21:15:00,3.4,10.0,20.39
3610,Jr. Tarapacá Puno,"-15.83755,-70.029158",Senati Puno,"-15.8699536,-69.9988485",2024-11-10,18:32:00,7.36,14.23,31.04
3611,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-01,13:04:00,6.11,12.0,30.55
3612,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-08-02,04:23:00,7.46,16.95,26.42
3613,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-13,03:24:00,6.82,14.06,29.11
3614,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-17,17:43:00,1.06,6.0,10.6
3615,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-07-12,12:05:00,4.2,10.0,25.22
3616,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-14,19:49:00,8.97,17.55,30.66
3617,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-24,10:05:00,7.27,12.83,34.01
3618,Parque del Periodista Puno,"-15.839012,-70.023311",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-02,00:51:00,0.71,3.0,14.16
3619,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Urbanización Alto Puno,"-15.814292,-70.031918",2024-07-11,22:18:00,4.29,10.0,25.72
3620,Senati Puno,"-15.8699536,-69.9988485",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-26,12:53:00,2.6,6.0,25.95
3621,Plaza Vea Puno,"-15.83636,-70.025604",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-14,15:48:00,0.85,3.0,17.02
3622,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-15,02:49:00,0.56,3.0,11.14
3623,Avenida La Torre Puno,"-15.8336052,-70.0276202",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-26,17:21:00,1.12,6.0,11.19
3624,Avenida La Torre Puno,"-15.8336052,-70.0276202",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-28,17:12:00,0.56,3.0,11.12
