ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
4159,Jirón Lima Puno,"-15.8387563,-70.0281599",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-28,01:02:00,0.8,2.64
4160,Senati Puno,"-15.8699536,-69.9988485",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-10-17,20:02:00,6.39,22.51
4161,Parque del Niño Puno,"-15.841,-70.024",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-30,07:39:00,0.9,3.14
4162,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-03,00:07:00,0.8,2.7
4163,Salcedo Puno,"-15.8687992,-69.9986595",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-08,06:28:00,4.02,11.15
4164,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-16,13:25:00,4.48,16.65
4165,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-10,17:48:00,3.22,10.31
4166,Urbanización Alto Puno,"-15.8282,-70.0481",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-11-20,15:40:00,5.16,16.82
4167,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-11-18,06:37:00,0.8,3.05
4168,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Los Incas Puno,"-15.84,-70.028",2024-11-28,13:38:00,6.12,14.94
4169,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-17,22:53:00,2.88,11.19
4170,Urbanización Huajsapata Puno,"-15.856,-70.0235",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-27,16:35:00,6.79,21.49
4171,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-27,07:53:00,1.41,4.4
4172,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-06-03,23:59:00,2.71,10.26
4173,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-09-20,22:59:00,1.43,4.83
4174,Municipalidad Provincial de Puno,"-15.84,-70.025",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-10-13,15:44:00,0.8,2.58
4175,Urbanización Huajsapata Puno,"-15.856,-70.0235",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-10,09:45:00,5.03,14.42
4176,Urbanización Bellavista Puno,"-15.84,-70.028",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-06-23,17:06:00,0.8,3.07
4177,Municipalidad Provincial de Puno,"-15.84,-70.025",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-30,20:52:00,2.8,9.27
4178,Avenida La Torre Puno,"-15.8336052,-70.0276202",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-09-21,02:28:00,4.34,14.5
4179,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-08-05,12:35:00,1.46,5.56
4180,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-08-08,23:38:00,1.5,4.67
4181,Puerto Lacustre Puno,"-15.8491,-70.0185",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-06-22,11:22:00,0.8,2.58
4182,Jirón Lima Puno,"-15.8387563,-70.0281599",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-08-22,12:39:00,2.48,9.45
4183,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Los Incas Puno,"-15.84,-70.028",2024-09-13,21:29:00,0.8,2.6
4184,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-10-21,19:13:00,0.8,2.86
4185,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-28,09:19:00,3.98,14.57
4186,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-23,23:22:00,1.79,6.61
4187,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-11-15,00:25:00,0.8,2.81
4188,Jirón Lima Puno,"-15.8387563,-70.0281599",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-06-14,04:22:00,0.92,2.81
4189,Terminal Terrestre Puno,"-15.848,-70.0146",Urbanización Bellavista Puno,"-15.84,-70.028",2024-09-12,18:01:00,2.36,7.09
4190,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-20,17:10:00,1.02,3.4
4191,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-11-23,14:19:00,4.74,13.57
4192,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Parque del Niño Puno,"-15.841,-70.024",2024-10-06,01:53:00,1.78,5.96
4193,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-07-16,01:56:00,7.26,22.36
4194,Avenida La Torre Puno,"-15.8336052,-70.0276202",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-11-05,16:11:00,4.48,14.86
4195,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque del Niño Puno,"-15.841,-70.024",2024-07-31,00:47:00,8.09,25.78
4196,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-09-07,10:59:00,0.8,2.79
4197,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Terminal Terrestre Puno,"-15.848,-70.0146",2024-09-23,15:16:00,2.14,9.33
4198,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-10-08,18:31:00,2.41,8.53
4199,Jirón Lima Puno,"-15.8387563,-70.0281599",Urbanización Bellavista Puno,"-15.84,-70.028",2024-10-30,23:12:00,0.8,3.31
4200,Parque del Niño Puno,"-15.841,-70.024",Senati Puno,"-15.8699536,-69.9988485",2024-07-01,04:45:00,5.91,14.63
4201,Colegio Don Bosco Puno,"-15.8282,-70.0481",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-08-07,08:38:00,5.39,15.53
4202,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-06-28,12:42:00,3.16,10.15
4203,Municipalidad Provincial de Puno,"-15.84,-70.025",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-11-24,00:57:00,0.8,3.31
4204,Isla Esteves Puno,"-15.8275387,-69.9925844",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-27,18:20:00,4.34,11.63
4205,Av. Costanera Puno,"-15.8399095,-70.0176539",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-04,10:04:00,3.48,11.27
4206,Urbanización Bellavista Puno,"-15.84,-70.028",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-11-16,14:07:00,0.8,3.36
4207,Senati Puno,"-15.8699536,-69.9988485",Urbanización Alto Puno,"-15.8282,-70.0481",2024-08-20,20:27:00,8.62,21.01
4208,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-08,08:05:00,2.19,9.06
4209,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-11-25,03:02:00,4.65,14.52
4210,Municipalidad Provincial de Puno,"-15.84,-70.025",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-06-20,04:59:00,3.44,10.76
4211,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-08,12:15:00,6.15,18.7
4212,Jirón Lima Puno,"-15.8387563,-70.0281599",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-19,20:47:00,6.1,15.93
4213,Puerto Lacustre Puno,"-15.8491,-70.0185",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-12,19:39:00,1.99,7.35
4214,Real Plaza Puno,"-15.8426,-70.0141",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-07-12,05:55:00,2.53,10.38
4215,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-11-21,03:20:00,0.93,3.02
4216,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-26,02:31:00,3.48,9.8
4217,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-22,10:04:00,0.8,2.88
4218,Puerto Lacustre Puno,"-15.8491,-70.0185",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-06-07,19:42:00,1.26,4.18
4219,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-07-10,12:17:00,1.67,4.91
4220,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-07-06,00:51:00,4.14,15.16
4221,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Senati Puno,"-15.8699536,-69.9988485",2024-07-17,22:47:00,2.73,8.7
4222,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Senati Puno,"-15.8699536,-69.9988485",2024-07-29,05:36:00,5.89,20.98
4223,Salcedo Puno,"-15.8687992,-69.9986595",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-11-22,22:16:00,5.94,15.59
4224,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-06-29,06:26:00,1.76,6.4
4225,Puerto Lacustre Puno,"-15.8491,-70.0185",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-04,16:48:00,3.43,11.16
4226,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-06-08,20:54:00,8.62,24.72
4227,Urbanización Alto Puno,"-15.8282,-70.0481",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-24,01:51:00,2.87,8.73
4228,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Real Plaza Puno,"-15.8426,-70.0141",2024-08-19,07:48:00,0.8,4.48
4229,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-08,23:41:00,4.11,12.69
4230,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Los Incas Puno,"-15.84,-70.028",2024-09-08,12:45:00,1.13,3.87
4231,Avenida La Torre Puno,"-15.8336052,-70.0276202",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-10-28,08:07:00,0.95,3.73
4232,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-01,06:47:00,0.8,4.43
4233,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-07-10,09:30:00,6.62,23.17
4234,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-11-08,08:04:00,0.8,3.19
4235,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Los Incas Puno,"-15.84,-70.028",2024-10-15,05:29:00,1.03,3.61
4236,Municipalidad Provincial de Puno,"-15.84,-70.025",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-08-04,14:56:00,1.72,5.44
4237,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-06-05,22:50:00,1.2,4.3
4238,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Urbanización Bellavista Puno,"-15.84,-70.028",2024-08-20,00:14:00,1.69,5.62
4239,Puerto Lacustre Puno,"-15.8491,-70.0185",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-10-05,04:46:00,1.67,5.2
4240,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-18,00:43:00,3.66,11.49
4241,Hospital ESSALUD Puno,"-15.84,-70.0213",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-14,13:57:00,1.99,7.32
4242,Puerto Lacustre Puno,"-15.8491,-70.0185",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-28,17:47:00,2.68,9.77
4243,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-30,13:31:00,1.53,4.7
4244,Puerto Lacustre Puno,"-15.8491,-70.0185",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-03,15:35:00,1.09,3.78
4245,Municipalidad Provincial de Puno,"-15.84,-70.025",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-01,02:25:00,2.69,10.62
4246,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Real Plaza Puno,"-15.8426,-70.0141",2024-11-28,09:18:00,1.8,6.88
4247,Jirón Lima Puno,"-15.8387563,-70.0281599",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-12,23:57:00,0.8,2.99
4248,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-10,18:04:00,2.14,8.16
4249,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-11-26,12:52:00,0.97,3.06
4250,Real Plaza Puno,"-15.8426,-70.0141",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-27,09:29:00,6.81,19.67
4251,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-23,02:32:00,0.8,3.07
4252,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-28,16:11:00,6.74,23.2
4253,Real Plaza Puno,"-15.8426,-70.0141",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-19,10:29:00,2.87,9.03
4254,Jirón Lima Puno,"-15.8387563,-70.0281599",Senati Puno,"-15.8699536,-69.9988485",2024-07-05,21:31:00,6.37,17.18
4255,Urbanización Bellavista Puno,"-15.84,-70.028",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-07-11,08:02:00,0.92,2.99
4256,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-07-27,06:28:00,0.8,3.33
4257,Senati Puno,"-15.8699536,-69.9988485",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-10-08,11:23:00,2.73,11.48
4258,Catedral Basílica de Puno,"-15.8409556,-70.029004",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-09-20,06:39:00,0.8,2.73
4259,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-16,09:03:00,4.16,13.75
4260,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-06-20,16:59:00,0.8,3.16
4261,Avenida La Torre Puno,"-15.8336052,-70.0276202",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-14,10:31:00,0.8,2.51
4262,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-31,17:54:00,0.83,2.7
4263,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Bellavista Puno,"-15.84,-70.028",2024-11-15,21:26:00,0.8,2.86
4264,Parque Pino Puno,"-15.8378073,-70.0280672",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-11-06,02:01:00,2.65,8.76
4265,Parque Pino Puno,"-15.8378073,-70.0280672",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-29,09:03:00,1.93,6.4
4266,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-11-17,01:02:00,0.89,3.23
4267,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-06-17,05:11:00,0.8,2.66
4268,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-11-05,00:01:00,0.9,3.22
4269,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-04,07:54:00,1.42,5.4
4270,Parque del Niño Puno,"-15.841,-70.024",Urbanización Bellavista Puno,"-15.84,-70.028",2024-11-18,14:31:00,0.8,2.9
4271,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-06-26,10:36:00,8.19,26.53
4272,Catedral Basílica de Puno,"-15.8409556,-70.029004",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-10-24,16:20:00,0.8,2.55
4273,Hospital ESSALUD Puno,"-15.84,-70.0213",Real Plaza Puno,"-15.8426,-70.0141",2024-06-30,07:44:00,0.99,3.14
4274,Parque del Niño Puno,"-15.841,-70.024",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-10-07,17:18:00,1.86,5.39
4275,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-11-06,02:57:00,0.8,2.55
4276,Real Plaza Puno,"-15.8426,-70.0141",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-26,07:24:00,0.99,3.4
4277,Jirón Lima Puno,"-15.8387563,-70.0281599",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-11-26,19:48:00,0.8,2.63
4278,Urbanización Huajsapata Puno,"-15.856,-70.0235",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-09-08,07:14:00,2.62,8.07
4279,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-19,17:28:00,7.65,23.59
4280,Senati Puno,"-15.8699536,-69.9988485",Urbanización Alto Puno,"-15.8282,-70.0481",2024-06-20,13:33:00,8.24,22.69
4281,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-17,18:57:00,6.42,18.53
4282,Avenida El Sol Puno,"-15.8458219,-70.0202123",Los Incas Puno,"-15.84,-70.028",2024-09-30,01:18:00,1.43,5.16
4283,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-03,04:38:00,3.0,9.3
4284,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-07-26,09:39:00,3.43,12.63
4285,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-04,19:51:00,1.34,5.59
4286,Urbanización Huajsapata Puno,"-15.856,-70.0235",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-16,08:30:00,5.09,19.13
4287,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-06,20:02:00,0.84,2.54
4288,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-08-07,02:58:00,5.28,13.72
4289,Av. Costanera Puno,"-15.8399095,-70.0176539",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-13,14:37:00,0.8,2.93
4290,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-10-10,21:27:00,3.96,12.38
4291,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-10-21,01:21:00,2.02,7.74
4292,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-06-02,20:30:00,3.58,10.15
4293,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-14,02:01:00,2.16,9.03
4294,Catedral Basílica de Puno,"-15.8409556,-70.029004",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-08,20:28:00,1.89,6.64
4295,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-10-04,01:59:00,1.89,6.02
4296,Jirón Lima Puno,"-15.8387563,-70.0281599",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-11-25,18:19:00,0.8,2.97
4297,Isla Esteves Puno,"-15.8275387,-69.9925844",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-08-23,09:00:00,4.96,14.68
4298,Parque Pino Puno,"-15.8378073,-70.0280672",Terminal Terrestre Puno,"-15.848,-70.0146",2024-09-18,15:47:00,2.41,8.39
4299,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-09-11,03:45:00,2.94,9.11
4300,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-09-20,22:51:00,5.36,17.33
4301,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-11-21,22:22:00,1.73,5.69
4302,Av. Costanera Puno,"-15.8399095,-70.0176539",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-10,19:36:00,3.12,10.93
4303,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-23,16:56:00,5.05,18.19
4304,Urbanización Bellavista Puno,"-15.84,-70.028",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-23,23:19:00,2.36,8.48
4305,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-11-13,12:23:00,2.75,9.86
4306,Municipalidad Provincial de Puno,"-15.84,-70.025",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-11-20,07:52:00,0.8,2.51
4307,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Urbanización Alto Puno,"-15.8282,-70.0481",2024-10-08,05:43:00,4.72,16.53
4308,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-10-31,09:35:00,2.0,7.63
4309,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-11-07,12:23:00,3.52,9.5
4310,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-09-02,00:29:00,3.0,9.44
4311,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-31,09:12:00,4.36,12.8
4312,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-09-15,17:38:00,0.8,2.8
4313,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-06-15,12:00:00,0.8,3.4
4314,Avenida Floral Puno,"-15.8268687,-70.0141471",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-12,18:21:00,4.08,10.81
4315,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-07-18,13:55:00,0.8,2.67
4316,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-22,03:50:00,1.42,4.93
4317,Parque Pino Puno,"-15.8378073,-70.0280672",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-08-17,06:48:00,1.62,6.57
4318,Senati Puno,"-15.8699536,-69.9988485",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-16,09:33:00,0.8,3.24
4319,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-08-16,18:38:00,6.12,17.24
4320,Puerto Lacustre Puno,"-15.8491,-70.0185",Terminal Terrestre Puno,"-15.848,-70.0146",2024-10-08,14:28:00,0.8,3.19
4321,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-16,17:38:00,1.09,4.43
4322,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-12,08:17:00,0.8,2.57
