ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
5703,Jayllihuaya Puno,"-15.8787471,-69.9751057",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-26,01:14:00
5704,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-29,03:32:00
5705,Plaza Vea Puno,"-15.83636,-70.025604",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-24,18:43:00
5706,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-21,17:52:00
5707,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-30,03:46:00
5708,Parque Pino Puno,"-15.8378073,-70.0280672",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-22,07:55:00
5709,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-11,09:12:00
5710,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-15,02:19:00
5711,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-18,16:31:00
5712,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-10,03:55:00
5713,Jr. Tarapacá Puno,"-15.83755,-70.029158",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-18,05:02:00
5714,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-07-06,09:53:00
5715,Jr. Los Incas Puno,"-15.836837,-70.024882",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-05,17:53:00
5716,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-07-05,16:04:00
5717,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-12,02:51:00
5718,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-20,21:36:00
5719,Urbanización Alto Puno,"-15.814292,-70.031918",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-25,19:45:00
5720,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-12,15:22:00
5721,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-15,09:55:00
5722,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-12,20:12:00
5723,Jr. Lima Puno,"-15.838756,-70.02816",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-24,08:40:00
5724,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-23,13:04:00
5725,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-09-12,09:13:00
5726,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-04,07:43:00
5727,Parque del Periodista Puno,"-15.839012,-70.023311",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-18,23:57:00
5728,Jr. Lima Puno,"-15.838756,-70.02816",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-11-14,19:07:00
5729,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-27,12:58:00
5730,Jayllihuaya Puno,"-15.8787471,-69.9751057",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-02,04:56:00
5731,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-05,07:08:00
5732,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-13,02:17:00
5733,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-06-10,10:20:00
5734,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-09-17,07:46:00
5735,Parque Pino Puno,"-15.8378073,-70.0280672",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-09,21:18:00
5736,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-07-09,20:45:00
5737,Parque San Román Puno,"-15.841093,-70.029431",Salcedo Puno,"-15.8687992,-69.9986595",2024-07-18,05:59:00
5738,Jr. Lima Puno,"-15.838756,-70.02816",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-06-03,04:48:00
5739,Av. Costanera Puno,"-15.8399095,-70.0176539",Senati Puno,"-15.8699536,-69.9988485",2024-11-06,03:11:00
5740,Terminal Terrestre Puno,"-15.843678,-70.017225",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-08-09,03:25:00
5741,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-10,11:30:00
5742,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-10-24,10:14:00
5743,Senati Puno,"-15.8699536,-69.9988485",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-27,18:13:00
5744,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-31,01:35:00
5745,Senati Puno,"-15.8699536,-69.9988485",Parque del Periodista Puno,"-15.839012,-70.023311",2024-09-29,18:30:00
5746,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-20,01:44:00
5747,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-25,04:43:00
5748,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-11-14,19:25:00
5749,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-02,07:31:00
5750,Parque San Román Puno,"-15.841093,-70.029431",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-11-21,00:45:00
5751,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-16,01:52:00
5752,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-09-10,05:42:00
5753,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-13,20:30:00
5754,Avenida Floral Puno,"-15.8268687,-70.0141471",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-20,09:29:00
5755,Jr. Lima Puno,"-15.838756,-70.02816",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-19,23:16:00
5756,Urbanización Bellavista Puno,"-15.832755,-70.022242",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-06-18,16:10:00
5757,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-06-26,17:20:00
5758,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-05,14:57:00
5759,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-25,11:45:00
5760,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-08-21,12:16:00
5761,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-03,15:29:00
5762,Jr. Lima Puno,"-15.838756,-70.02816",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-08,08:17:00
5763,Parque Pino Puno,"-15.8378073,-70.0280672",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-07,03:05:00
5764,Puerto Lacustre Puno,"-15.835401,-70.014945",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-21,16:21:00
5765,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-07-24,07:14:00
5766,Plaza Vea Puno,"-15.83636,-70.025604",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-20,16:00:00
5767,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-09-05,21:24:00
5768,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-08-04,00:41:00
5769,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-02,20:39:00
5770,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-11-01,17:12:00
5771,Jr. Tarapacá Puno,"-15.83755,-70.029158",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-24,07:50:00
5772,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-25,20:40:00
5773,Parque San Román Puno,"-15.841093,-70.029431",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-11,13:13:00
5774,Terminal Terrestre Puno,"-15.843678,-70.017225",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-11-13,03:18:00
5775,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-21,08:20:00
5776,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-07-09,18:45:00
5777,Parque del Periodista Puno,"-15.839012,-70.023311",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-13,15:01:00
5778,Jr. Los Incas Puno,"-15.836837,-70.024882",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-06,14:11:00
5779,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-07-26,17:04:00
5780,Urbanización Alto Puno,"-15.814292,-70.031918",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-16,07:49:00
5781,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-25,09:39:00
5782,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-23,05:29:00
5783,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-12,22:56:00
5784,Salcedo Puno,"-15.8687992,-69.9986595",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-18,10:08:00
5785,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-28,12:08:00
5786,Colegio Adventista Puno,"-15.8366071,-70.0291852",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-04,22:34:00
5787,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-08,11:16:00
5788,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-22,15:54:00
5789,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Senati Puno,"-15.8699536,-69.9988485",2024-10-16,10:28:00
5790,Puerto Lacustre Puno,"-15.835401,-70.014945",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-11-25,20:43:00
5791,Colegio Don Bosco Puno,"-15.883085,-70.001176",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-10,02:08:00
5792,Salcedo Puno,"-15.8687992,-69.9986595",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-06,13:37:00
5793,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-17,18:04:00
5794,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-09-02,20:02:00
5795,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-18,16:28:00
5796,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-18,07:45:00
5797,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-13,11:47:00
5798,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-23,00:16:00
5799,Parque San Román Puno,"-15.841093,-70.029431",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-29,05:15:00
5800,Avenida Floral Puno,"-15.8268687,-70.0141471",Plaza Vea Puno,"-15.83636,-70.025604",2024-10-09,00:26:00
5801,Jr. Lima Puno,"-15.838756,-70.02816",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-27,06:20:00
5802,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Senati Puno,"-15.8699536,-69.9988485",2024-08-16,11:42:00
5803,Urbanización Alto Puno,"-15.814292,-70.031918",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-11,07:29:00
5804,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Salcedo Puno,"-15.8687992,-69.9986595",2024-10-19,22:29:00
5805,Plaza Vea Puno,"-15.83636,-70.025604",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-04,15:19:00
5806,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-16,03:04:00
5807,Plaza Vea Puno,"-15.83636,-70.025604",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-16,16:48:00
5808,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Parque del Periodista Puno,"-15.839012,-70.023311",2024-09-15,02:50:00
5809,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-16,14:18:00
5810,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-09-01,09:51:00
5811,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-08,11:51:00
5812,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-08,03:14:00
5813,Jr. Los Incas Puno,"-15.836837,-70.024882",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-02,05:02:00
5814,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-10-11,16:53:00
5815,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque San Román Puno,"-15.841093,-70.029431",2024-08-03,03:31:00
5816,Colegio Adventista Puno,"-15.8366071,-70.0291852",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-06-29,23:03:00
5817,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-10-18,14:30:00
5818,Jr. Lima Puno,"-15.838756,-70.02816",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-12,22:33:00
5819,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-06-07,07:59:00
5820,Avenida Floral Puno,"-15.8268687,-70.0141471",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-09-08,01:04:00
5821,Ministerio de Cultura Puno,"-15.842631,-70.028915",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-03,00:49:00
5822,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-16,13:34:00
5823,Avenida La Torre Puno,"-15.8336052,-70.0276202",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-05,08:19:00
5824,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-02,09:26:00
5825,Avenida El Sol Puno,"-15.8458219,-70.0202123",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-12,09:26:00
5826,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-13,20:09:00
5827,Colegio Don Bosco Puno,"-15.883085,-70.001176",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-11,11:38:00
5828,Avenida Floral Puno,"-15.8268687,-70.0141471",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-09-22,14:24:00
5829,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-08,16:22:00
5830,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Urbanización Alto Puno,"-15.814292,-70.031918",2024-10-21,18:03:00
5831,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-10,12:11:00
5832,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-15,00:56:00
5833,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-02,19:15:00
5834,Urbanización Alto Puno,"-15.814292,-70.031918",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-10-12,04:08:00
5835,Jr. Lima Puno,"-15.838756,-70.02816",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-20,08:21:00
5836,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-04,15:28:00
5837,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-11-23,17:09:00
5838,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-10-16,15:17:00
5839,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-06-07,08:46:00
5840,Jayllihuaya Puno,"-15.8787471,-69.9751057",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-23,01:59:00
5841,Senati Puno,"-15.8699536,-69.9988485",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-04,21:01:00
5842,Urbanización Alto Puno,"-15.814292,-70.031918",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-19,06:22:00
5843,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-16,01:33:00
5844,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-04,16:17:00
5845,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-18,21:55:00
5846,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-01,08:48:00
5847,Terminal Terrestre Puno,"-15.843678,-70.017225",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-13,22:28:00
5848,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-15,12:03:00
5849,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-09-05,09:53:00
5850,Parque del Niño Puno,"-15.858797,-70.012071",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-10-28,15:40:00
5851,Ministerio de Cultura Puno,"-15.842631,-70.028915",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-09-27,11:19:00
5852,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-09-19,18:12:00
5853,Terminal Terrestre Puno,"-15.843678,-70.017225",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-09-30,08:26:00
5854,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-09-19,00:18:00
5855,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-16,15:36:00
5856,Jr. Los Incas Puno,"-15.836837,-70.024882",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-03,23:31:00
5857,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-07-14,16:52:00
5858,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-01,19:18:00
5859,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-06-11,02:20:00
5860,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-09,20:26:00
5861,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Parque San Román Puno,"-15.841093,-70.029431",2024-10-15,20:17:00
5862,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-07-09,07:35:00
